doi,resource_type,resource_link
10.1126/sciimmunol.add4906,Code,https://github.com/ElementoLab/covid-pdcs
10.1016/j.isci.2022.104223,Data,https://doi.org/10.5281/zenodo.5182825
10.1016/j.isci.2022.104223,Code,https://github.com/ElementoLab/covid-placenta
10.1101/2022.03.15.484534,,
10.1101/mcs.a006151,Code,https://github.com/ElementoLab/msuc-imc
10.1101/2022.03.16.484543,,
10.1016/j.xcrm.2022.100522,PDF,https://www.sciencedirect.com/science/article/pii/S2666379122000222/pdfft?md5=d0d26d9a767cddacc0e92b849f193155&pid=1-s2.0-S2666379122000222-main.pdf
10.3389/fimmu.2021.809937,Preprint,https://dx.doi.org/10.1101/2021.09.05.21263141
10.3389/fimmu.2021.809937,Code,https://github.com/ElementoLab/covid-metabolomics
10.3389/fimmu.2021.809937,Data,https://github.com/ElementoLab/covid-metabolomics/tree/main/data
10.1101/2021.11.16.468622,Preprint,https://dx.doi.org/10.1101/2021.11.16.468622
10.1093/gigascience/giab077,Preprint,https://dx.doi.org/10.1101/2020.10.08.331322
10.1093/gigascience/giab077,Code,http://dx.doi.org/10.5524/100936
10.1093/gigascience/giab077,Code,http://pep.databio.org/en/latest/
10.1161/CIRCULATIONAHA.120.046464,,
10.1038/s41592-021-01153-z,Preprint,https://dx.doi.org/10.1101/2019.12.17.879304
10.1038/s41592-021-01153-z,Preprint,https://dx.doi.org/10.1101/2019.12.17.879304
10.1038/s41592-021-01153-z,Code,https://github.com/epigen/scifiRNA-seq_publication
10.1038/s41592-021-01153-z,Notebook,/2019/12/13/chromium_modeling
10.1038/s41467-021-23445-w,PDF,https://www.nature.com/articles/s41467-021-23445-w.pdf
10.1038/s41467-021-23445-w,Data,https://doi.org/10.5281/zenodo.4719434
10.1038/s41586-021-03569-1,PDF,https://www.nature.com/articles/s41586-021-03569-1_reference.pdf
10.1038/s41586-021-03475-6,PDF,https://www.nature.com/articles/s41586-021-03475-6_reference.pdf
10.1038/s41586-021-03475-6,Preprint,https://doi.org/10.1101/2020.10.26.20219584
10.1038/s41586-021-03475-6,Data,https://doi.org/10.5281/zenodo.4719434
10.1038/s41586-021-03475-6,Data,https://doi.org/10.5281/zenodo.4139443
10.1038/s41586-021-03475-6,Data,https://doi.org/10.5281/zenodo.4637034
10.1038/s41586-021-03475-6,Data,https://doi.org/10.5281/zenodo.4633905
10.1038/s41586-021-03475-6,Data,https://doi.org/10.5281/zenodo.4635285
10.1038/s41586-021-03475-6,Code,https://github.com/ElementoLab/covid-imc
10.1038/s41586-021-03475-6,Code,https://github.com/ElementoLab/covid-imc-viz
10.1038/s41588-021-00777-3,Code,https://github.com/Kubicek-Lab-at-CeMM/BAF-kinetics
